Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
a2f8cc3fd0c4813c5d297e4dec02ae81,en,US,91b8f8a911bff655d08192b7e34f37d1,50TFQ009,no Transition Curb needed,,73,ZHD102S5,4
a51c599b7ffd5a344457def0504ad1c3,en,US,91b8f8a911bff655d08192b7e34f37d1,548DTX102,no Transition Curb needed,,73,ZHD102S5,4
b5b2baaa731b17be902ee56839046ae3,en,US,91b8f8a911bff655d08192b7e34f37d1,548JJ09,no Transition Curb needed,,73,ZHD102S5,4
273fcc5fd3d9c43b47fa4696afbbd83d,en,US,91b8f8a911bff655d08192b7e34f37d1,50TCQD09,,,73,ZHD102S5,4
2d997a598feb2e147c59afdfbbaed1cd,en,US,91b8f8a911bff655d08192b7e34f37d1,548DJX102,no Transition Curb needed,,73,ZHD102S5,4
2df2baf4fee37e1a9a0cd5fd8470c6f3,en,US,91b8f8a911bff655d08192b7e34f37d1,548JE09,no Transition Curb needed,,73,ZHD102S5,4
30d0b0467133852dff5303e8e4392630,en,US,91b8f8a911bff655d08192b7e34f37d1,548DPX102,no Transition Curb needed,,73,ZHD102S5,4
55bff3ce4fdcc9b328d0a3470a990408,en,US,91b8f8a911bff655d08192b7e34f37d1,50TJQ009,no Transition Curb needed,,73,ZHD102S5,4
a1ca16a0c5fcbd9fcd6872d911f44335,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE102L,no Transition Curb needed,,73,ZHD102S5,4
a1dcb862d0ba58193f29c433ba3b9a6c,en,US,91b8f8a911bff655d08192b7e34f37d1,DCH102,no Transition Curb needed,,73,ZHD102S5,4
a889245954bed2779b916e83ee66fc5f,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE102S,no Transition Curb needed,,73,ZHD102S5,4
07258f833e946088412dfa926f4111b1,en,US,91b8f8a911bff655d08192b7e34f37d1,548JT09,no Transition Curb needed,,73,ZHD102S5,4
0ac8cadb4eaa86df44fda83a4dc3104d,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH102H,no Transition Curb needed,,73,ZHD102S5,4
21f34b629ad759c192af8a0efb04ff71,en,US,91b8f8a911bff655d08192b7e34f37d1,549BPX102,no Transition Curb needed,,73,ZHD102S5,4
5d6c7ea51d531c21071a0ff5d9112483,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE102H,no Transition Curb needed,,73,ZHD102S5,4
